G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200721HHHT0,20200721,HH,HT,B,29.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,3.0,3.0
20200722HHHT0,20200722,HH,HT,B,29.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,14.0,1.0,1.0,7.0
20200724HHSK0,20200724,HH,SK,B,29.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,7.0,11.0,1.0,0.0,5.0
20200726HHSK0,20200726,HH,SK,B,34.0,4.0,4.0,8.0,2.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,7.0
20200727HHSK0,20200727,HH,SK,B,29.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0
20200729HHSS0,20200729,HH,SS,T,44.0,8.0,12.0,18.0,1.0,0.0,1.0,0.0,4.0,7.0,1.0,0.0,10.0
20200730HHSS0,20200730,HH,SS,T,37.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,1.0,9.0
20200731HHLG0,20200731,HH,LG,T,34.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0
20200801HHLG0,20200801,HH,LG,T,34.0,6.0,6.0,8.0,2.0,0.0,1.0,1.0,6.0,8.0,0.0,2.0,7.0
20200805HHNC0,20200805,HH,NC,B,33.0,6.0,8.0,12.0,2.0,0.0,1.0,0.0,7.0,5.0,2.0,0.0,11.0
20200806HHNC0,20200806,HH,NC,B,29.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,6.0
20200809HHKT0,20200809,HH,KT,B,34.0,2.0,3.0,8.0,1.0,0.0,1.0,0.0,3.0,12.0,1.0,0.0,8.0
20200811HHWO0,20200811,HH,WO,T,44.0,7.0,7.0,10.0,1.0,0.0,1.0,0.0,8.0,10.0,0.0,1.0,12.0
20200812HHWO0,20200812,HH,WO,T,34.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,4.0,8.0,0.0,0.0,6.0
20200813HHWO0,20200813,HH,WO,T,32.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,1.0,9.0
20200814HHSS0,20200814,HH,SS,B,29.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,5.0
20200815HHSS0,20200815,HH,SS,B,30.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,7.0,1.0,0.0,8.0
20200816HHSS0,20200816,HH,SS,B,26.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,4.0
20200818HHSK0,20200818,HH,SK,T,32.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,11.0,16.0,0.0,1.0,13.0
20200819HHSK0,20200819,HH,SK,T,40.0,5.0,6.0,12.0,2.0,0.0,2.0,0.0,3.0,8.0,0.0,1.0,10.0
20200820HHKT0,20200820,HH,KT,B,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,7.0
20200821HHKT0,20200821,HH,KT,B,35.0,5.0,5.0,11.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,8.0
20200823HHLG0,20200823,HH,LG,T,31.0,4.0,4.0,6.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,5.0
20200824HHLG0,20200824,HH,LG,T,38.0,5.0,6.0,14.0,1.0,2.0,0.0,0.0,3.0,7.0,0.0,2.0,13.0
20200825HHNC0,20200825,HH,NC,T,37.0,3.0,3.0,11.0,1.0,1.0,0.0,0.0,6.0,9.0,1.0,0.0,13.0
20200826HHNC0,20200826,HH,NC,T,34.0,5.0,5.0,7.0,1.0,0.0,1.0,0.0,5.0,8.0,2.0,2.0,7.0
20200827HHSS0,20200827,HH,SS,B,33.0,7.0,7.0,11.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,7.0
20200829HHLT0,20200829,HH,LT,T,38.0,6.0,7.0,11.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,0.0,6.0
20200830HHLT0,20200830,HH,LT,T,33.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,6.0
