G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
20200721HHHT0,20200721,HH,HT,B,L,27.0,222.0,41.0,16.0,2.0,0.0,2.0,0.0,9.0,8.0,2.0,10.0,9.0
20200722HHHT0,20200722,HH,HT,B,L,27.0,148.0,30.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,2.0,2.0
20200724HHSK0,20200724,HH,SK,B,L,27.0,165.0,34.0,8.0,1.0,0.0,3.0,1.0,5.0,13.0,0.0,7.0,7.0
20200726HHSK0,20200726,HH,SK,B,L,27.0,180.0,35.0,10.0,2.0,0.0,0.0,1.0,7.0,5.0,1.0,7.0,7.0
20200727HHSK0,20200727,HH,SK,B,D,27.0,138.0,32.0,10.0,3.0,0.0,1.0,1.0,4.0,5.0,3.0,5.0,5.0
20200729HHSS0,20200729,HH,SS,T,W,27.0,195.0,34.0,9.0,1.0,0.0,2.0,1.0,10.0,7.0,1.0,7.0,7.0
20200730HHSS0,20200730,HH,SS,T,L,33.0,196.0,36.0,6.0,2.0,0.0,0.0,3.0,8.0,12.0,0.0,2.0,1.0
20200731HHLG0,20200731,HH,LG,T,W,27.0,136.0,29.0,4.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,1.0
20200801HHLG0,20200801,HH,LG,T,L,24.0,161.0,39.0,15.0,3.0,0.0,0.0,0.0,2.0,7.0,0.0,9.0,7.0
20200805HHNC0,20200805,HH,NC,B,W,27.0,164.0,30.0,6.0,0.0,1.0,0.0,0.0,11.0,4.0,1.0,5.0,5.0
20200806HHNC0,20200806,HH,NC,B,L,27.0,173.0,32.0,8.0,1.0,0.0,2.0,0.0,7.0,4.0,1.0,4.0,4.0
20200809HHKT0,20200809,HH,KT,B,L,27.0,181.0,37.0,12.0,5.0,0.0,1.0,0.0,5.0,9.0,1.0,6.0,6.0
20200811HHWO0,20200811,HH,WO,T,W,36.0,235.0,45.0,12.0,1.0,0.0,1.0,2.0,8.0,13.0,0.0,5.0,4.0
20200812HHWO0,20200812,HH,WO,T,L,27.0,153.0,30.0,9.0,2.0,0.0,1.0,1.0,7.0,3.0,3.0,3.0,3.0
20200813HHWO0,20200813,HH,WO,T,L,24.0,125.0,31.0,11.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,6.0,6.0
20200814HHSS0,20200814,HH,SS,B,L,27.0,186.0,41.0,15.0,4.0,0.0,1.0,2.0,3.0,6.0,1.0,10.0,10.0
20200815HHSS0,20200815,HH,SS,B,L,27.0,153.0,29.0,3.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,2.0,2.0
20200816HHSS0,20200816,HH,SS,B,W,27.0,134.0,32.0,5.0,1.0,0.0,2.0,1.0,2.0,9.0,0.0,2.0,2.0
20200818HHSK0,20200818,HH,SK,T,L,24.0,146.0,31.0,8.0,2.0,0.0,2.0,0.0,7.0,4.0,0.0,9.0,4.0
20200819HHSK0,20200819,HH,SK,T,L,24.0,210.0,46.0,22.0,4.0,0.0,6.0,0.0,11.0,4.0,0.0,26.0,22.0
20200820HHKT0,20200820,HH,KT,B,L,27.0,144.0,31.0,6.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0
20200821HHKT0,20200821,HH,KT,B,W,27.0,156.0,30.0,4.0,0.0,0.0,1.0,0.0,5.0,12.0,1.0,1.0,1.0
20200823HHLG0,20200823,HH,LG,T,W,27.0,159.0,30.0,6.0,1.0,0.0,0.0,0.0,7.0,8.0,3.0,3.0,3.0
20200824HHLG0,20200824,HH,LG,T,W,27.0,158.0,32.0,5.0,1.0,0.0,0.0,1.0,5.0,6.0,1.0,3.0,2.0
20200825HHNC0,20200825,HH,NC,T,L,24.0,150.0,38.0,15.0,3.0,0.0,6.0,1.0,2.0,7.0,0.0,11.0,11.0
20200826HHNC0,20200826,HH,NC,T,L,24.0,150.0,36.0,11.0,2.0,0.0,2.0,1.0,4.0,6.0,1.0,9.0,6.0
20200827HHSS0,20200827,HH,SS,B,W,27.0,128.0,32.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0
20200829HHLT0,20200829,HH,LT,T,L,24.0,135.0,33.0,11.0,3.0,0.0,4.0,1.0,6.0,5.0,1.0,9.0,9.0
20200830HHLT0,20200830,HH,LT,T,L,24.0,145.0,34.0,10.0,3.0,0.0,0.0,2.0,3.0,6.0,1.0,6.0,2.0
20200901HHOB0,20200901,HH,OB,T,L,24.0,137.0,33.0,10.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,3.0
20200903HHWO0,20200903,HH,WO,B,L,27.0,168.0,34.0,9.0,0.0,0.0,1.0,2.0,5.0,8.0,0.0,6.0,6.0
20200904HHWO0,20200904,HH,WO,B,W,27.0,147.0,32.0,6.0,1.0,0.0,0.0,2.0,4.0,8.0,0.0,1.0,1.0
20200905HHHT0,20200905,HH,HT,B,L,27.0,156.0,36.0,13.0,4.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,5.0
20200906HHHT0,20200906,HH,HT,B,L,27.0,167.0,35.0,10.0,5.0,0.0,1.0,0.0,4.0,9.0,0.0,8.0,7.0
20200908HHSS0,20200908,HH,SS,T,W,30.0,173.0,36.0,7.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,2.0,2.0
20200909HHSS1,20200909,HH,SS,T,W,27.0,127.0,31.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
20200909HHSS0,20200909,HH,SS,T,D,27.0,163.0,31.0,7.0,0.0,0.0,1.0,2.0,4.0,11.0,0.0,4.0,4.0
20200910HHSK0,20200910,HH,SK,B,L,27.0,153.0,36.0,9.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0
20200911HHSK0,20200911,HH,SK,B,L,27.0,139.0,33.0,8.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,3.0
20200912HHKT0,20200912,HH,KT,T,L,24.0,160.0,31.0,9.0,1.0,0.0,0.0,3.0,6.0,3.0,0.0,5.0,5.0
20200913HHKT0,20200913,HH,KT,T,L,27.0,154.0,33.0,12.0,1.0,0.0,0.0,0.0,3.0,11.0,2.0,5.0,5.0
20200915HHLG0,20200915,HH,LG,B,W,30.0,185.0,39.0,8.0,2.0,0.0,1.0,3.0,3.0,14.0,0.0,5.0,4.0
20200916HHLG0,20200916,HH,LG,B,L,27.0,162.0,40.0,15.0,8.0,0.0,0.0,0.0,6.0,5.0,2.0,11.0,10.0
20200917HHWO0,20200917,HH,WO,T,L,24.0,152.0,26.0,4.0,2.0,0.0,0.0,0.0,8.0,9.0,1.0,5.0,5.0
20200918HHWO0,20200918,HH,WO,T,W,27.0,135.0,31.0,4.0,2.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0
20200919HHHT0,20200919,HH,HT,T,L,24.0,151.0,29.0,10.0,2.0,0.0,0.0,1.0,4.0,4.0,0.0,8.0,6.0
20200920HHHT0,20200920,HH,HT,T,W,27.0,157.0,33.0,9.0,1.0,0.0,1.0,0.0,4.0,7.0,1.0,3.0,3.0
20200922HHOB0,20200922,HH,OB,B,W,27.0,125.0,29.0,6.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0
20200923HHOB0,20200923,HH,OB,B,W,27.0,165.0,37.0,11.0,5.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,5.0
20200721HTHH0,20200721,HT,HH,T,W,27.0,133.0,29.0,3.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,2.0,2.0
20200722HTHH0,20200722,HT,HH,T,W,27.0,153.0,29.0,4.0,1.0,0.0,0.0,0.0,5.0,14.0,1.0,1.0,1.0
20200725HTSS0,20200725,HT,SS,B,W,27.0,173.0,32.0,7.0,1.0,0.0,0.0,1.0,6.0,10.0,0.0,2.0,2.0
20200726HTSS0,20200726,HT,SS,B,W,27.0,157.0,36.0,12.0,4.0,0.0,1.0,1.0,4.0,4.0,0.0,5.0,5.0
20200730HTKT0,20200730,HT,KT,B,L,27.0,142.0,31.0,11.0,2.0,0.0,0.0,1.0,5.0,6.0,1.0,4.0,4.0
20200731HTLT0,20200731,HT,LT,T,W,27.0,130.0,33.0,6.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,1.0
20200801HTLT0,20200801,HT,LT,T,L,24.0,134.0,31.0,10.0,3.0,0.0,2.0,0.0,5.0,3.0,2.0,7.0,6.0
20200802HTLT0,20200802,HT,LT,T,L,24.0,161.0,34.0,11.0,4.0,0.0,0.0,0.0,4.0,6.0,2.0,8.0,7.0
20200804HTLG0,20200804,HT,LG,B,L,27.0,184.0,41.0,16.0,1.0,2.0,3.0,0.0,6.0,9.0,1.0,15.0,15.0
20200805HTLG0,20200805,HT,LG,B,L,27.0,161.0,35.0,11.0,3.0,0.0,2.0,0.0,5.0,10.0,2.0,6.0,6.0
20200806HTLG0,20200806,HT,LG,B,W,27.0,110.0,28.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0
20200808HTNC0,20200808,HT,NC,B,W,27.0,160.0,31.0,6.0,1.0,2.0,0.0,2.0,9.0,6.0,1.0,2.0,2.0
20200809HTNC0,20200809,HT,NC,B,L,27.0,205.0,39.0,14.0,2.0,1.0,1.0,0.0,6.0,8.0,2.0,8.0,8.0
20200811HTLG0,20200811,HT,LG,T,W,27.0,157.0,36.0,9.0,2.0,0.0,1.0,0.0,1.0,11.0,0.0,4.0,4.0
20200812HTLG0,20200812,HT,LG,T,L,24.0,140.0,34.0,12.0,5.0,0.0,0.0,1.0,3.0,9.0,2.0,8.0,8.0
20200813HTLG0,20200813,HT,LG,T,L,24.0,127.0,29.0,8.0,1.0,0.0,2.0,0.0,5.0,6.0,0.0,4.0,4.0
